ip_address,event,element,timestamp,x,y,page,relatedElement,inputValue,location,destination,timeSpent,scroll,depth,timeSpentOnHover
127.0.0.1,Region Change,Map,2024-10-08T04:50:48.579Z,19.290785604383565,78.65528281249999,/archive,,,India,Telangana,4789,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:50:50.972Z,21.670054764943615,74.30469687499999,/archive,,,Telangana,Maharashtra,2392,0,0,0
127.0.0.1,Map Click,Map,2024-10-08T04:50:51.346Z,890,447,/archive,,,Maharashtra,,0,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:50:55.819Z,23.099985219732417,73.62354453124999,/archive,,,Maharashtra,Gujarat,4847,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:50:58.780Z,24.41429371051823,73.57959921874999,/archive,,,Gujarat,Rajasthan,2961,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:50:59.816Z,23.890843003358935,73.22803671874999,/archive,,,Rajasthan,Gujarat,1036,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:02.221Z,23.66795085721267,73.91742880859374,/archive,,,Gujarat,Rajasthan,2404,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:03.589Z,23.703175743140214,74.98839286403188,/archive,,,Rajasthan,Madhya Pradesh,1367,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:06.599Z,23.23828771035508,76.82436416926683,/archive,,,Madhya Pradesh,Kumer,3010,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:06.665Z,23.19202832261707,76.91453927842804,/archive,,,Kumer,Haidarganj,65,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:07.776Z,23.23852472302455,76.82390207139679,/archive,,,Haidarganj,Hadlay Khurd,1111,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:08.021Z,23.191907340647536,76.91477507206369,/archive,,,Hadlay Khurd,Haidarganj,244,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:09.018Z,23.238403783158017,76.82413786503244,/archive,,,Haidarganj,Madhya Pradesh,997,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:15.628Z,24.451353354601874,79.26074142688539,/archive,,,Madhya Pradesh,Surajpura Road,6609,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:15.781Z,24.44093984062711,79.16268045233095,/archive,,,Surajpura Road,Deopur,152,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:18.281Z,24.452617206840145,79.26087075994813,/archive,,,Deopur,Madhya Pradesh,2499,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:22.341Z,24.963551909466986,79.45354582897222,/archive,,,Madhya Pradesh,Rajapurwa,4059,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:22.444Z,24.91629922571389,79.53892897717327,/archive,,,Rajapurwa,Hatna,103,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:35.446Z,25.07001882265035,79.35559462658733,/archive,,,Hatna,Kudail,13002,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:36.417Z,25.094391223979823,79.36699373510804,/archive,,,Kudail,Garroli,971,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:37.949Z,25.14257380551988,79.20082552221741,/archive,,,Garroli,Taktoli,1531,0,0,0
127.0.0.1,Region Change,Map,2024-10-08T04:51:39.881Z,25.22363294445431,79.04371821161925,/archive,,,Taktoli,Uprarakhas,1931,0,0,0
